iter	F1	Logloss
0	0.767251239	0.6910999889
1	0.7702372815	0.6891423603
2	0.7721686135	0.6871645663
3	0.7721686135	0.6852715412
4	0.7721647393	0.6832573442
5	0.7717556479	0.6813352302
6	0.7715993113	0.6795757584
7	0.7715993113	0.6776775044
8	0.7715993113	0.6758826428
9	0.7733845687	0.6740719152
10	0.7736401251	0.6722723122
11	0.77397882	0.6706666003
12	0.774083031	0.6689060282
13	0.7747003726	0.6673929592
14	0.7749924494	0.6658067555
15	0.7752593936	0.6641217249
16	0.7748764996	0.6624364098
17	0.7748364368	0.6607765594
18	0.7746804871	0.6592575118
19	0.7746804871	0.6578644033
20	0.7746804871	0.6562965944
21	0.7746804871	0.6548461402
22	0.7748037835	0.6533998179
23	0.7749974877	0.6519470036
24	0.7753091384	0.6505094753
25	0.7749974877	0.6491944113
26	0.7749974877	0.6478034718
27	0.7750753769	0.6463492344
28	0.7749974877	0.6450846954
29	0.7750753769	0.6437097329
30	0.7751080728	0.6424504358
31	0.7751080728	0.6411271041
32	0.7748490946	0.6398395403
33	0.7747711498	0.6386614937
34	0.7746804871	0.6373638296
35	0.7746804871	0.6360614111
36	0.7746804871	0.6349698168
37	0.7747584541	0.6337964585
38	0.7749144353	0.6326257001
39	0.7747584541	0.6314400933
40	0.7747584541	0.630229403
41	0.7747584541	0.6291499123
42	0.7746223565	0.6279760383
43	0.7747529744	0.6268070909
44	0.7748764996	0.6257367463
45	0.7747402401	0.6246551328
46	0.7745839637	0.6235363149
47	0.7745839637	0.6224676364
48	0.7745839637	0.6213639191
49	0.7745058491	0.6203664742
50	0.7750529821	0.6193084234
51	0.7769113924	0.6183399674
52	0.7769113924	0.6173108344
53	0.7785234899	0.6162705652
54	0.7785234899	0.615315444
55	0.7785234899	0.6143276722
56	0.7774059426	0.613394751
57	0.7792260692	0.6124317696
58	0.7789195239	0.611552411
59	0.777236762	0.6106820163
60	0.7766754404	0.6098696521
61	0.7768779105	0.6090519596
62	0.7778906726	0.6081616122
63	0.7776649746	0.6074034373
64	0.7793848034	0.6065061271
65	0.7778116428	0.6057137477
66	0.7778116428	0.6048630301
67	0.777980906	0.6040142139
68	0.7779243177	0.6032051184
69	0.7779131141	0.6023613034
70	0.7782860628	0.6014851273
71	0.7792260692	0.6006881588
72	0.7791467264	0.5999206274
73	0.7783311312	0.599233953
74	0.7786135393	0.5985656059
75	0.778636826	0.5979058584
76	0.7794192562	0.597147528
77	0.779533177	0.596511743
78	0.7794297352	0.5958149548
79	0.779533177	0.595063355
80	0.7798511267	0.5943277706
81	0.7797024659	0.5936907205
82	0.779623026	0.5931158867
83	0.7798165138	0.5924913489
84	0.7797819219	0.5919358965
85	0.7799306547	0.5912446223
86	0.7799306547	0.5904815444
87	0.7799306547	0.5898534959
88	0.7800897593	0.5891457658
89	0.7800897593	0.5885355149
90	0.7799306547	0.5879111686
91	0.7799306547	0.5873575528
92	0.7802489288	0.5867017225
93	0.7802489288	0.5861709897
94	0.7802489288	0.5855351845
95	0.7802489288	0.5849021351
96	0.7800897593	0.5843497435
97	0.7803285379	0.5837940325
98	0.7803285379	0.5832858417
99	0.7804878049	0.5827056992
