iter	Passed	Remaining
0	1	113
1	1	94
2	2	91
3	3	89
4	4	87
5	5	85
6	6	83
7	7	81
8	7	80
9	8	79
10	9	79
11	10	78
12	11	77
13	12	76
14	13	75
15	14	76
16	15	77
17	17	78
18	17	76
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	70
25	24	69
26	25	69
27	26	68
28	27	66
29	28	65
30	28	64
31	29	63
32	30	62
33	31	60
34	32	59
35	33	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	37
57	51	37
58	51	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	26
69	60	26
70	61	25
71	62	24
72	63	23
73	64	22
74	66	22
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	82	7
92	82	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
