iter	Logloss
0	0.6907905081
1	0.6884958887
2	0.6863508825
3	0.6843058597
4	0.6823798176
5	0.6802920011
6	0.6783552442
7	0.6764393911
8	0.6747421733
9	0.6727241676
10	0.671058437
11	0.66924237
12	0.6674301156
13	0.6656798495
14	0.6638213832
15	0.6621360635
16	0.6603165125
17	0.6585421873
18	0.656756227
19	0.6552558205
20	0.6536212484
21	0.6519993632
22	0.6504028518
23	0.6489540474
24	0.6473645039
25	0.6460348775
26	0.6447908384
27	0.6433226422
28	0.6419056537
29	0.6404960932
30	0.6389659744
31	0.63756187
32	0.6362011508
33	0.6349099796
34	0.6336516101
35	0.6322348188
36	0.6310110919
37	0.6297811858
38	0.6285046078
39	0.62721554
40	0.6260549189
41	0.6247390312
42	0.6235856409
43	0.6224415193
44	0.6213530755
45	0.6202595043
46	0.6191892691
47	0.6179860515
48	0.6169885852
49	0.6159078324
50	0.6149843182
51	0.6138951513
52	0.6129528368
53	0.6119075153
54	0.6107949466
55	0.6098868145
56	0.6090005722
57	0.6079870665
58	0.6069820406
59	0.6062314101
60	0.6053887502
61	0.6045204536
62	0.6036027899
63	0.6026500236
64	0.6016879228
65	0.6007831432
66	0.5998530555
67	0.5989534032
68	0.5982886229
69	0.5974861272
70	0.5967278714
71	0.5958232233
72	0.5949764878
73	0.5941696537
74	0.5933037893
75	0.5925222632
76	0.5918212628
77	0.5910211993
78	0.5901291066
79	0.5893556002
80	0.5886783302
81	0.5878866809
82	0.5870972008
83	0.5863650419
84	0.5857945916
85	0.5851272476
86	0.5844380795
87	0.5837715901
88	0.583205807
89	0.5824497862
90	0.5817829681
91	0.5810813103
92	0.5804732594
93	0.5798036804
94	0.5793130327
95	0.5787743326
96	0.578307481
97	0.5777479428
98	0.5771841975
99	0.576598891
