iter	Passed	Remaining
0	1	167
1	3	151
2	4	154
3	5	140
4	6	132
5	8	128
6	9	126
7	10	123
8	12	122
9	13	121
10	14	119
11	16	120
12	17	117
13	18	115
14	20	114
15	21	113
16	22	109
17	23	107
18	24	106
19	26	105
20	27	104
21	29	104
22	30	102
23	31	100
24	32	98
25	34	97
26	35	96
27	37	95
28	38	93
29	39	92
30	40	90
31	42	89
32	43	87
33	44	86
34	45	84
35	47	83
36	48	82
37	49	81
38	51	79
39	52	78
40	53	77
41	55	76
42	56	74
43	57	73
44	58	72
45	60	70
46	61	69
47	63	69
48	65	67
49	66	66
50	67	65
51	69	63
52	70	62
53	71	61
54	73	59
55	74	58
56	76	57
57	77	56
58	78	54
59	79	53
60	81	52
61	83	51
62	84	49
63	85	48
64	86	46
65	88	45
66	89	44
67	91	42
68	92	41
69	93	40
70	94	38
71	96	37
72	97	36
73	98	34
74	99	33
75	101	31
76	102	30
77	104	29
78	105	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	113	20
85	114	18
86	116	17
87	117	16
88	118	14
89	120	13
90	121	12
91	122	10
92	124	9
93	125	8
94	126	6
95	127	5
96	129	3
97	130	2
98	132	1
99	133	0
